CARD SET,CARD NUMBER,ATHLETE,TEAM,SEQUENCE
Base Holo Black Laser,30,Stefanie Dolson,Washington Mystics,1
Base Holo Black Laser,31,Alissa Pili,Minnesota Lynx,1
Base Holo Black Laser,32,Kamilla Cardoso,Chicago Sky,1
Base Holo Black Laser,33,Jacy Sheldon,Connecticut Sun,1
Base Holo Black Laser,34,Courtney Vandersloot,Chicago Sky,1
Base Holo Black Laser,35,Dorka Juhasz,Minnesota Lynx,1
Base Holo Black Laser,36,Megan Gustafson,Las Vegas Aces,1
Base Holo Black Laser,37,Dana Evans,Las Vegas Aces,1
Base Holo Black Laser,38,Chelsea Gray,Las Vegas Aces,1
Base Holo Black Laser,39,Arike Ogunbowale,Dallas Wings,1
Base Holo Black Laser,40,Kayla Thornton,Golden State Valkyries,1
Base Holo Black Laser,41,Brittney Sykes,Washington Mystics,1
Base Holo Black Laser,42,Aerial Powers,Atlanta Dream,1
Base Holo Black Laser,43,Dearica Hamby,Los Angeles Sparks,1
Base Holo Black Laser,44,DeWanna Bonner,Indiana Fever,1
Base Holo Black Laser,45,Ezi Magbegor,Seattle Storm,1
Base Holo Black Laser,46,Monique Billings,Golden State Valkyries,1
Base Holo Black Laser,47,Caitlin Clark,Indiana Fever,1
Base Holo Black Laser,48,NaLyssa Smith,Dallas Wings,1
Base Holo Black Laser,49,Rickea Jackson,Los Angeles Sparks,1
Base Holo Black Laser,50,Karlie Samuelson,Minnesota Lynx,1
Base Holo Black Laser,51,Kahleah Copper,Phoenix Mercury,1
Base Holo Black Laser,52,Tina Charles,Connecticut Sun,1
Base Holo Black Laser,53,Katie Lou Samuelson,Seattle Storm,1
Base Holo Black Laser,54,Kate Martin,Golden State Valkyries,1
Base Holo Black Laser,55,Satou Sabally,Phoenix Mercury,1
Base Holo Black Laser,56,Allisha Gray,Atlanta Dream,1
Base Holo Black Laser,57,Teaira McCowan,Dallas Wings,1
Base Holo Black Laser,58,Temi Fagbenle,Golden State Valkyries,1
Base Holo Black Laser,59,Betnijah Laney-Hamilton,New York Liberty,1
Base Holo Black Laser,60,Jackie Young,Las Vegas Aces,1
Base Holo Black Laser,61,Alysha Clark,Seattle Storm,1
Base Holo Black Laser,62,Brittney Griner,Atlanta Dream,1
Base Holo Black Laser,63,Breanna Stewart,New York Liberty,1
Base Holo Black Laser,64,Brionna Jones,Atlanta Dream,1
Base Holo Black Laser,65,Myisha Hines-Allen,Dallas Wings,1
Base Holo Black Laser,66,Elizabeth Kitley,Las Vegas Aces,1
Base Holo Black Laser,67,Nyara Sabally,New York Liberty,1
Base Holo Black Laser,68,Alanna Smith,Minnesota Lynx,1
Base Holo Black Laser,69,Zia Cooke,Seattle Storm,1
Base Holo Black Laser,70,Courtney Williams,Minnesota Lynx,1
Base Holo Black Laser,71,Angel Reese,Chicago Sky,1
Base Holo Black Laser,72,Natisha Hiedeman,Minnesota Lynx,1
Base Holo Black Laser,73,Rhyne Howard,Atlanta Dream,1
Base Holo Black Laser,74,Ariel Atkins,Chicago Sky,1
Base Holo Black Laser,75,Gabby Williams,Seattle Storm,1
Base Holo Black Laser,76,Rebecca Allen,Chicago Sky,1
Base Holo Black Laser,77,Jonquel Jones,New York Liberty,1
Base Holo Black Laser,78,Celeste Taylor,Phoenix Mercury,1
Base Holo Black Laser,79,Marine Johannes,New York Liberty,1
Base Holo Black Laser,80,Erica Wheeler,Seattle Storm,1
Base Holo Black Laser,81,Nika Muhl,Seattle Storm,1
Base Holo Black Laser,82,A'ja Wilson,Las Vegas Aces,1
Base Holo Black Laser,83,Sabrina Ionescu,New York Liberty,1
Base Holo Black Laser,84,Kalani Brown,Phoenix Mercury,1
Base Holo Black Laser,85,Lexie Hull,Indiana Fever,1
Base Holo Team Logo,1,Aliyah Boston,Indiana Fever,13
Base Holo Team Logo,2,Cameron Brink,Los Angeles Sparks,13
Base Holo Team Logo,3,Sami Whitcomb,Phoenix Mercury,13
Base Holo Team Logo,4,Bridget Carleton,Minnesota Lynx,13
Base Holo Team Logo,5,Haley Jones,Atlanta Dream,13
Base Holo Team Logo,6,Kia Nurse,Chicago Sky,13
Base Holo Team Logo,7,Leonie Fiebich,New York Liberty,13
Base Holo Team Logo,8,Natasha Cloud,New York Liberty,13
Base Holo Team Logo,9,Sydney Colson,Indiana Fever,13
Base Holo Team Logo,10,Alyssa Thomas,Phoenix Mercury,13
Base Holo Team Logo,11,Nneka Ogwumike,Seattle Storm,13
Base Holo Team Logo,12,Kelsey Plum,Los Angeles Sparks,13
Base Holo Team Logo,13,Marina Mabrey,Connecticut Sun,13
Base Holo Team Logo,14,Diana Taurasi,Phoenix Mercury,13
Base Holo Team Logo,15,Jordan Horston,Seattle Storm,13
Base Holo Team Logo,16,Aaliyah Edwards,Washington Mystics,13
Base Holo Team Logo,17,Diamond Miller,Minnesota Lynx,13
Base Holo Team Logo,18,Jordin Canada,Atlanta Dream,13
Base Holo Team Logo,19,Kelsey Mitchell,Indiana Fever,13
Base Holo Team Logo,20,Maddy Siegrist,Dallas Wings,13
Base Holo Team Logo,21,Veronica Burton,Golden State Valkyries,13
Base Holo Team Logo,22,Shakira Austin,Washington Mystics,13
Base Holo Team Logo,23,Jewell Loyd,Las Vegas Aces,13
Base Holo Team Logo,24,Sophie Cunningham,Indiana Fever,13
Base Holo Team Logo,25,Napheesa Collier,Minnesota Lynx,13
Base Holo Team Logo,26,Skylar Diggins,Seattle Storm,13
Base Holo Team Logo,27,DiJonai Carrington,Dallas Wings,13
Base Holo Team Logo,28,Kayla McBride,Minnesota Lynx,13
Base Holo Team Logo,29,Julie Vanloo,Golden State Valkyries,13
Base Holo Team Logo,30,Stefanie Dolson,Washington Mystics,13
Base Holo Team Logo,31,Alissa Pili,Minnesota Lynx,13
Base Holo Team Logo,32,Kamilla Cardoso,Chicago Sky,13
Base Holo Team Logo,33,Jacy Sheldon,Connecticut Sun,13
Base Holo Team Logo,34,Courtney Vandersloot,Chicago Sky,13
Base Holo Team Logo,35,Dorka Juhasz,Minnesota Lynx,13
Base Holo Team Logo,36,Megan Gustafson,Las Vegas Aces,13
Base Holo Team Logo,37,Dana Evans,Las Vegas Aces,13
Base Holo Team Logo,38,Chelsea Gray,Las Vegas Aces,13
Base Holo Team Logo,39,Arike Ogunbowale,Dallas Wings,13
Base Holo Team Logo,40,Kayla Thornton,Golden State Valkyries,13
Base Holo Team Logo,41,Brittney Sykes,Washington Mystics,13
Base Holo Team Logo,42,Aerial Powers,Atlanta Dream,13
Base Holo Team Logo,43,Dearica Hamby,Los Angeles Sparks,13
Base Holo Team Logo,44,DeWanna Bonner,Indiana Fever,13
Base Holo Team Logo,45,Ezi Magbegor,Seattle Storm,13
Base Holo Team Logo,46,Monique Billings,Golden State Valkyries,13
Base Holo Team Logo,47,Caitlin Clark,Indiana Fever,13
Base Holo Team Logo,48,NaLyssa Smith,Dallas Wings,13
Base Holo Team Logo,49,Rickea Jackson,Los Angeles Sparks,13
Base Holo Team Logo,50,Karlie Samuelson,Minnesota Lynx,13
Base Holo Team Logo,51,Kahleah Copper,Phoenix Mercury,13
Base Holo Team Logo,52,Tina Charles,Connecticut Sun,13
Base Holo Team Logo,53,Katie Lou Samuelson,Seattle Storm,13
Base Holo Team Logo,54,Kate Martin,Golden State Valkyries,13
Base Holo Team Logo,55,Satou Sabally,Phoenix Mercury,13
Base Holo Team Logo,56,Allisha Gray,Atlanta Dream,13
Base Holo Team Logo,57,Teaira McCowan,Dallas Wings,13
Base Holo Team Logo,58,Temi Fagbenle,Golden State Valkyries,13
Base Holo Team Logo,59,Betnijah Laney-Hamilton,New York Liberty,13
Base Holo Team Logo,60,Jackie Young,Las Vegas Aces,13
Base Holo Team Logo,61,Alysha Clark,Seattle Storm,13
Base Holo Team Logo,62,Brittney Griner,Atlanta Dream,13
Base Holo Team Logo,63,Breanna Stewart,New York Liberty,13
Base Holo Team Logo,64,Brionna Jones,Atlanta Dream,13
Base Holo Team Logo,65,Myisha Hines-Allen,Dallas Wings,13
Base Holo Team Logo,66,Elizabeth Kitley,Las Vegas Aces,13
Base Holo Team Logo,67,Nyara Sabally,New York Liberty,13
Base Holo Team Logo,68,Alanna Smith,Minnesota Lynx,13
Base Holo Team Logo,69,Zia Cooke,Seattle Storm,13
Base Holo Team Logo,70,Courtney Williams,Minnesota Lynx,13
Base Holo Team Logo,71,Angel Reese,Chicago Sky,13
Base Holo Team Logo,72,Natisha Hiedeman,Minnesota Lynx,13
Base Holo Team Logo,73,Rhyne Howard,Atlanta Dream,13
Base Holo Team Logo,74,Ariel Atkins,Chicago Sky,13
Base Holo Team Logo,75,Gabby Williams,Seattle Storm,13
Base Holo Team Logo,76,Rebecca Allen,Chicago Sky,13
Base Holo Team Logo,77,Jonquel Jones,New York Liberty,13
Base Holo Team Logo,78,Celeste Taylor,Phoenix Mercury,13
Base Holo Team Logo,79,Marine Johannes,New York Liberty,13
Base Holo Team Logo,80,Erica Wheeler,Seattle Storm,13
Base Holo Team Logo,81,Nika Muhl,Seattle Storm,13
Base Holo Team Logo,82,A'ja Wilson,Las Vegas Aces,13
Base Holo Team Logo,83,Sabrina Ionescu,New York Liberty,13
Base Holo Team Logo,84,Kalani Brown,Phoenix Mercury,13
Base Holo Team Logo,85,Lexie Hull,Indiana Fever,13
Base Holo WNBA Logo,76,Rebecca Allen,Chicago Sky,
Base Holo WNBA Logo,77,Jonquel Jones,New York Liberty,
Base Holo WNBA Logo,78,Celeste Taylor,Phoenix Mercury,
Base Holo WNBA Logo,79,Marine Johannes,New York Liberty,
Base Holo WNBA Logo,80,Erica Wheeler,Seattle Storm,
Base Holo WNBA Logo,81,Nika Muhl,Seattle Storm,
Base Holo WNBA Logo,82,A'ja Wilson,Las Vegas Aces,
Base Holo WNBA Logo,83,Sabrina Ionescu,New York Liberty,
Base Holo WNBA Logo,84,Kalani Brown,Phoenix Mercury,
Base Holo WNBA Logo,85,Lexie Hull,Indiana Fever,
Base Lava,1,Aliyah Boston,Indiana Fever,
Base Lava,2,Cameron Brink,Los Angeles Sparks,
Base Lava,3,Sami Whitcomb,Phoenix Mercury,
Base Lava,4,Bridget Carleton,Minnesota Lynx,
Base Lava,5,Haley Jones,Atlanta Dream,
Base Lava,6,Kia Nurse,Chicago Sky,
Base Lava,7,Leonie Fiebich,New York Liberty,
Base Lava,8,Natasha Cloud,New York Liberty,
Base Lava,9,Sydney Colson,Indiana Fever,
Base Lava,10,Alyssa Thomas,Phoenix Mercury,
Base Lava,11,Nneka Ogwumike,Seattle Storm,
Base Lava,12,Kelsey Plum,Los Angeles Sparks,
Base Lava,13,Marina Mabrey,Connecticut Sun,
Base Lava,14,Diana Taurasi,Phoenix Mercury,
Base Lava,15,Jordan Horston,Seattle Storm,
Base Lava,16,Aaliyah Edwards,Washington Mystics,
Base Lava,17,Diamond Miller,Minnesota Lynx,
Base Lava,18,Jordin Canada,Atlanta Dream,
Base Lava,19,Kelsey Mitchell,Indiana Fever,
Base Lava,20,Maddy Siegrist,Dallas Wings,
Base Lava,21,Veronica Burton,Golden State Valkyries,
Base Lava,22,Shakira Austin,Washington Mystics,
Base Lava,23,Jewell Loyd,Las Vegas Aces,
Base Lava,24,Sophie Cunningham,Indiana Fever,
Base Lava,25,Napheesa Collier,Minnesota Lynx,
Base Lava,26,Skylar Diggins,Seattle Storm,
Base Lava,27,DiJonai Carrington,Dallas Wings,
Base Lava,28,Kayla McBride,Minnesota Lynx,
Base Lava,29,Julie Vanloo,Golden State Valkyries,
Base Lava,30,Stefanie Dolson,Washington Mystics,
Base Lava,31,Alissa Pili,Minnesota Lynx,
Base Lava,32,Kamilla Cardoso,Chicago Sky,
Base Lava,33,Jacy Sheldon,Connecticut Sun,
Base Lava,34,Courtney Vandersloot,Chicago Sky,
Base Lava,35,Dorka Juhasz,Minnesota Lynx,
Base Lava,36,Megan Gustafson,Las Vegas Aces,
Base Lava,37,Dana Evans,Las Vegas Aces,
Base Lava,38,Chelsea Gray,Las Vegas Aces,
Base Lava,39,Arike Ogunbowale,Dallas Wings,
Base Lava,40,Kayla Thornton,Golden State Valkyries,
Base Lava,41,Brittney Sykes,Washington Mystics,
Base Lava,42,Aerial Powers,Atlanta Dream,
Base Lava,43,Dearica Hamby,Los Angeles Sparks,
Base Lava,44,DeWanna Bonner,Indiana Fever,
Base Lava,45,Ezi Magbegor,Seattle Storm,
Base Lava,46,Monique Billings,Golden State Valkyries,
Base Lava,47,Caitlin Clark,Indiana Fever,
Base Lava,48,NaLyssa Smith,Dallas Wings,
Base Lava,49,Rickea Jackson,Los Angeles Sparks,
Base Lava,50,Karlie Samuelson,Minnesota Lynx,
Base Lava,51,Kahleah Copper,Phoenix Mercury,
Base Lava,52,Tina Charles,Connecticut Sun,
Base Lava,53,Katie Lou Samuelson,Seattle Storm,
Base Lava,54,Kate Martin,Golden State Valkyries,
Base Lava,55,Satou Sabally,Phoenix Mercury,
Base Lava,56,Allisha Gray,Atlanta Dream,
Base Lava,57,Teaira McCowan,Dallas Wings,
Base Lava,58,Temi Fagbenle,Golden State Valkyries,
Base Lava,59,Betnijah Laney-Hamilton,New York Liberty,
Base Lava,60,Jackie Young,Las Vegas Aces,
Base Lava,61,Alysha Clark,Seattle Storm,
Base Lava,62,Brittney Griner,Atlanta Dream,
Base Lava,63,Breanna Stewart,New York Liberty,
Base Lava,64,Brionna Jones,Atlanta Dream,
Base Lava,65,Myisha Hines-Allen,Dallas Wings,
Base Lava,66,Elizabeth Kitley,Las Vegas Aces,
Base Lava,67,Nyara Sabally,New York Liberty,
Base Lava,68,Alanna Smith,Minnesota Lynx,
Base Lava,69,Zia Cooke,Seattle Storm,
Base Lava,70,Courtney Williams,Minnesota Lynx,
Base Lava,71,Angel Reese,Chicago Sky,
Base Lava,72,Natisha Hiedeman,Minnesota Lynx,
Base Lava,73,Rhyne Howard,Atlanta Dream,
Base Lava,74,Ariel Atkins,Chicago Sky,
Base Lava,75,Gabby Williams,Seattle Storm,
Base Lava,76,Rebecca Allen,Chicago Sky,
Base Lava,77,Jonquel Jones,New York Liberty,
Base Lava,78,Celeste Taylor,Phoenix Mercury,
Base Lava,79,Marine Johannes,New York Liberty,
Base Lava,80,Erica Wheeler,Seattle Storm,
Base Lava,81,Nika Muhl,Seattle Storm,
Base Lava,82,A'ja Wilson,Las Vegas Aces,
Base Lava,83,Sabrina Ionescu,New York Liberty,
Base Lava,84,Kalani Brown,Phoenix Mercury,
Base Lava,85,Lexie Hull,Indiana Fever,
Base Light Blue Lava,1,Aliyah Boston,Indiana Fever,75
Base Light Blue Lava,2,Cameron Brink,Los Angeles Sparks,75
Base Light Blue Lava,3,Sami Whitcomb,Phoenix Mercury,75
Base Light Blue Lava,4,Bridget Carleton,Minnesota Lynx,75
Base Light Blue Lava,5,Haley Jones,Atlanta Dream,75
Base Light Blue Lava,6,Kia Nurse,Chicago Sky,75
Base Light Blue Lava,7,Leonie Fiebich,New York Liberty,75
Base Light Blue Lava,8,Natasha Cloud,New York Liberty,75
Base Light Blue Lava,9,Sydney Colson,Indiana Fever,75
Base Light Blue Lava,10,Alyssa Thomas,Phoenix Mercury,75
Base Light Blue Lava,11,Nneka Ogwumike,Seattle Storm,75
Base Light Blue Lava,12,Kelsey Plum,Los Angeles Sparks,75
Base Light Blue Lava,13,Marina Mabrey,Connecticut Sun,75
Base Light Blue Lava,14,Diana Taurasi,Phoenix Mercury,75
Base Light Blue Lava,15,Jordan Horston,Seattle Storm,75
Base Light Blue Lava,16,Aaliyah Edwards,Washington Mystics,75
Base Light Blue Lava,17,Diamond Miller,Minnesota Lynx,75
Base Light Blue Lava,18,Jordin Canada,Atlanta Dream,75
Base Light Blue Lava,19,Kelsey Mitchell,Indiana Fever,75
Base Light Blue Lava,20,Maddy Siegrist,Dallas Wings,75
Base Light Blue Lava,21,Veronica Burton,Golden State Valkyries,75
Base Light Blue Lava,22,Shakira Austin,Washington Mystics,75
Base Light Blue Lava,23,Jewell Loyd,Las Vegas Aces,75
Base Light Blue Lava,24,Sophie Cunningham,Indiana Fever,75
Base Light Blue Lava,25,Napheesa Collier,Minnesota Lynx,75
Base Light Blue Lava,26,Skylar Diggins,Seattle Storm,75
Base Light Blue Lava,27,DiJonai Carrington,Dallas Wings,75
Base Light Blue Lava,28,Kayla McBride,Minnesota Lynx,75
Base Light Blue Lava,29,Julie Vanloo,Golden State Valkyries,75
Base Light Blue Lava,30,Stefanie Dolson,Washington Mystics,75
Base Light Blue Lava,31,Alissa Pili,Minnesota Lynx,75
Base Light Blue Lava,32,Kamilla Cardoso,Chicago Sky,75
Base Light Blue Lava,33,Jacy Sheldon,Connecticut Sun,75
Base Light Blue Lava,34,Courtney Vandersloot,Chicago Sky,75
Base Light Blue Lava,35,Dorka Juhasz,Minnesota Lynx,75
Base Light Blue Lava,36,Megan Gustafson,Las Vegas Aces,75
Base Light Blue Lava,37,Dana Evans,Las Vegas Aces,75
Base Light Blue Lava,38,Chelsea Gray,Las Vegas Aces,75
Base Light Blue Lava,39,Arike Ogunbowale,Dallas Wings,75
Base Light Blue Lava,40,Kayla Thornton,Golden State Valkyries,75
Base Light Blue Lava,41,Brittney Sykes,Washington Mystics,75
Base Light Blue Lava,42,Aerial Powers,Atlanta Dream,75
Base Light Blue Lava,43,Dearica Hamby,Los Angeles Sparks,75
Base Light Blue Lava,44,DeWanna Bonner,Indiana Fever,75
Base Light Blue Lava,45,Ezi Magbegor,Seattle Storm,75
Base Light Blue Lava,46,Monique Billings,Golden State Valkyries,75
Base Light Blue Lava,47,Caitlin Clark,Indiana Fever,75
Base Light Blue Lava,48,NaLyssa Smith,Dallas Wings,75
Base Light Blue Lava,49,Rickea Jackson,Los Angeles Sparks,75
Base Light Blue Lava,50,Karlie Samuelson,Minnesota Lynx,75
Base Light Blue Lava,51,Kahleah Copper,Phoenix Mercury,75
Base Light Blue Lava,52,Tina Charles,Connecticut Sun,75
Base Light Blue Lava,53,Katie Lou Samuelson,Seattle Storm,75
Base Light Blue Lava,54,Kate Martin,Golden State Valkyries,75
Base Light Blue Lava,55,Satou Sabally,Phoenix Mercury,75
Base Light Blue Lava,56,Allisha Gray,Atlanta Dream,75
Base Light Blue Lava,57,Teaira McCowan,Dallas Wings,75
Base Light Blue Lava,58,Temi Fagbenle,Golden State Valkyries,75
Base Light Blue Lava,59,Betnijah Laney-Hamilton,New York Liberty,75
Base Light Blue Lava,60,Jackie Young,Las Vegas Aces,75
Base Light Blue Lava,61,Alysha Clark,Seattle Storm,75
Base Light Blue Lava,62,Brittney Griner,Atlanta Dream,75
Base Light Blue Lava,63,Breanna Stewart,New York Liberty,75
Base Light Blue Lava,64,Brionna Jones,Atlanta Dream,75
Base Light Blue Lava,65,Myisha Hines-Allen,Dallas Wings,75
Base Light Blue Lava,66,Elizabeth Kitley,Las Vegas Aces,75
Base Light Blue Lava,67,Nyara Sabally,New York Liberty,75
Base Light Blue Lava,68,Alanna Smith,Minnesota Lynx,75
Base Light Blue Lava,69,Zia Cooke,Seattle Storm,75
Base Light Blue Lava,70,Courtney Williams,Minnesota Lynx,75
Base Light Blue Lava,71,Angel Reese,Chicago Sky,75
Base Light Blue Lava,72,Natisha Hiedeman,Minnesota Lynx,75
Base Light Blue Lava,73,Rhyne Howard,Atlanta Dream,75
Base Light Blue Lava,74,Ariel Atkins,Chicago Sky,75
Base Light Blue Lava,75,Gabby Williams,Seattle Storm,75
Base Light Blue Lava,76,Rebecca Allen,Chicago Sky,75
Base Light Blue Lava,77,Jonquel Jones,New York Liberty,75
Base Light Blue Lava,78,Celeste Taylor,Phoenix Mercury,75
Base Light Blue Lava,79,Marine Johannes,New York Liberty,75
Base Light Blue Lava,80,Erica Wheeler,Seattle Storm,75
Base Light Blue Lava,81,Nika Muhl,Seattle Storm,75
Base Light Blue Lava,82,A'ja Wilson,Las Vegas Aces,75
Base Light Blue Lava,83,Sabrina Ionescu,New York Liberty,75
Base Light Blue Lava,84,Kalani Brown,Phoenix Mercury,75
Base Light Blue Lava,85,Lexie Hull,Indiana Fever,75
Base Orange Laser,1,Aliyah Boston,Indiana Fever,199
Base Orange Laser,2,Cameron Brink,Los Angeles Sparks,199
Base Orange Laser,3,Sami Whitcomb,Phoenix Mercury,199
Base Orange Laser,4,Bridget Carleton,Minnesota Lynx,199
Base Orange Laser,5,Haley Jones,Atlanta Dream,199
Base Orange Laser,6,Kia Nurse,Chicago Sky,199
Base Orange Laser,7,Leonie Fiebich,New York Liberty,199
Base Orange Laser,8,Natasha Cloud,New York Liberty,199
Base Orange Laser,9,Sydney Colson,Indiana Fever,199
Base Orange Laser,10,Alyssa Thomas,Phoenix Mercury,199
Base Orange Laser,11,Nneka Ogwumike,Seattle Storm,199
Base Orange Laser,12,Kelsey Plum,Los Angeles Sparks,199
Base Orange Laser,13,Marina Mabrey,Connecticut Sun,199
Base Orange Laser,14,Diana Taurasi,Phoenix Mercury,199
Base Orange Laser,15,Jordan Horston,Seattle Storm,199
Base Orange Laser,16,Aaliyah Edwards,Washington Mystics,199
Base Orange Laser,17,Diamond Miller,Minnesota Lynx,199
Base Orange Laser,18,Jordin Canada,Atlanta Dream,199
Base Orange Laser,19,Kelsey Mitchell,Indiana Fever,199
Base Orange Laser,20,Maddy Siegrist,Dallas Wings,199
Base Orange Laser,21,Veronica Burton,Golden State Valkyries,199
Base Orange Laser,22,Shakira Austin,Washington Mystics,199
Base Orange Laser,23,Jewell Loyd,Las Vegas Aces,199
Base Orange Laser,24,Sophie Cunningham,Indiana Fever,199
Base Orange Laser,25,Napheesa Collier,Minnesota Lynx,199
Base Orange Laser,26,Skylar Diggins,Seattle Storm,199
Base Orange Laser,27,DiJonai Carrington,Dallas Wings,199
Base Orange Laser,28,Kayla McBride,Minnesota Lynx,199
Base Orange Laser,29,Julie Vanloo,Golden State Valkyries,199
Base Orange Laser,30,Stefanie Dolson,Washington Mystics,199
Base Orange Laser,31,Alissa Pili,Minnesota Lynx,199
Base Orange Laser,32,Kamilla Cardoso,Chicago Sky,199
Base Orange Laser,33,Jacy Sheldon,Connecticut Sun,199
Base Orange Laser,34,Courtney Vandersloot,Chicago Sky,199
Base Orange Laser,35,Dorka Juhasz,Minnesota Lynx,199
Base Orange Laser,36,Megan Gustafson,Las Vegas Aces,199
Base Orange Laser,37,Dana Evans,Las Vegas Aces,199
Base Orange Laser,38,Chelsea Gray,Las Vegas Aces,199
Base Orange Laser,39,Arike Ogunbowale,Dallas Wings,199
Base Orange Laser,40,Kayla Thornton,Golden State Valkyries,199
Base Orange Laser,41,Brittney Sykes,Washington Mystics,199
Base Orange Laser,42,Aerial Powers,Atlanta Dream,199
Base Orange Laser,43,Dearica Hamby,Los Angeles Sparks,199
Base Orange Laser,44,DeWanna Bonner,Indiana Fever,199
Base Orange Laser,45,Ezi Magbegor,Seattle Storm,199
Base Orange Laser,46,Monique Billings,Golden State Valkyries,199
Base Orange Laser,47,Caitlin Clark,Indiana Fever,199
Base Orange Laser,48,NaLyssa Smith,Dallas Wings,199
Base Orange Laser,49,Rickea Jackson,Los Angeles Sparks,199
Base Orange Laser,50,Karlie Samuelson,Minnesota Lynx,199
Base Orange Laser,51,Kahleah Copper,Phoenix Mercury,199
Base Orange Laser,52,Tina Charles,Connecticut Sun,199
Base Orange Laser,53,Katie Lou Samuelson,Seattle Storm,199
Base Orange Laser,54,Kate Martin,Golden State Valkyries,199
Base Orange Laser,55,Satou Sabally,Phoenix Mercury,199
Base Orange Laser,56,Allisha Gray,Atlanta Dream,199
Base Orange Laser,57,Teaira McCowan,Dallas Wings,199
Base Orange Laser,58,Temi Fagbenle,Golden State Valkyries,199
Base Orange Laser,59,Betnijah Laney-Hamilton,New York Liberty,199
Base Orange Laser,60,Jackie Young,Las Vegas Aces,199
Base Orange Laser,61,Alysha Clark,Seattle Storm,199
Base Orange Laser,62,Brittney Griner,Atlanta Dream,199
Base Orange Laser,63,Breanna Stewart,New York Liberty,199
Base Orange Laser,64,Brionna Jones,Atlanta Dream,199
Base Orange Laser,65,Myisha Hines-Allen,Dallas Wings,199
Base Orange Laser,66,Elizabeth Kitley,Las Vegas Aces,199
Base Orange Laser,67,Nyara Sabally,New York Liberty,199
Base Orange Laser,68,Alanna Smith,Minnesota Lynx,199
Base Orange Laser,69,Zia Cooke,Seattle Storm,199
Base Orange Laser,70,Courtney Williams,Minnesota Lynx,199
Base Orange Laser,71,Angel Reese,Chicago Sky,199
Base Orange Laser,72,Natisha Hiedeman,Minnesota Lynx,199
Base Orange Laser,73,Rhyne Howard,Atlanta Dream,199
Base Orange Laser,74,Ariel Atkins,Chicago Sky,199
Base Orange Laser,75,Gabby Williams,Seattle Storm,199
Base Orange Laser,76,Rebecca Allen,Chicago Sky,199
Base Orange Laser,77,Jonquel Jones,New York Liberty,199
Base Orange Laser,78,Celeste Taylor,Phoenix Mercury,199
Base Orange Laser,79,Marine Johannes,New York Liberty,199
Base Orange Laser,80,Erica Wheeler,Seattle Storm,199
Base Orange Laser,81,Nika Muhl,Seattle Storm,199
Base Orange Laser,82,A'ja Wilson,Las Vegas Aces,199
Base Orange Laser,83,Sabrina Ionescu,New York Liberty,199
Base Orange Laser,84,Kalani Brown,Phoenix Mercury,199
Base Orange Laser,85,Lexie Hull,Indiana Fever,199
Base Orange Lava,1,Aliyah Boston,Indiana Fever,199
Base Orange Lava,2,Cameron Brink,Los Angeles Sparks,199
Base Orange Lava,3,Sami Whitcomb,Phoenix Mercury,199
Base Orange Lava,4,Bridget Carleton,Minnesota Lynx,199
Base Orange Lava,5,Haley Jones,Atlanta Dream,199
Base Orange Lava,6,Kia Nurse,Chicago Sky,199
Base Orange Lava,7,Leonie Fiebich,New York Liberty,199
Base Orange Lava,8,Natasha Cloud,New York Liberty,199
Base Orange Lava,9,Sydney Colson,Indiana Fever,199
Base Orange Lava,10,Alyssa Thomas,Phoenix Mercury,199
Base Orange Lava,11,Nneka Ogwumike,Seattle Storm,199
Base Orange Lava,12,Kelsey Plum,Los Angeles Sparks,199
Base Orange Lava,13,Marina Mabrey,Connecticut Sun,199
Base Orange Lava,14,Diana Taurasi,Phoenix Mercury,199
Base Orange Lava,15,Jordan Horston,Seattle Storm,199
Base Orange Lava,16,Aaliyah Edwards,Washington Mystics,199
Base Orange Lava,17,Diamond Miller,Minnesota Lynx,199
Base Orange Lava,18,Jordin Canada,Atlanta Dream,199
Base Orange Lava,19,Kelsey Mitchell,Indiana Fever,199
Base Orange Lava,20,Maddy Siegrist,Dallas Wings,199
Base Orange Lava,21,Veronica Burton,Golden State Valkyries,199
Base Orange Lava,22,Shakira Austin,Washington Mystics,199
Base Orange Lava,23,Jewell Loyd,Las Vegas Aces,199
Base Orange Lava,24,Sophie Cunningham,Indiana Fever,199
Base Orange Lava,25,Napheesa Collier,Minnesota Lynx,199
Base Orange Lava,26,Skylar Diggins,Seattle Storm,199
Base Orange Lava,27,DiJonai Carrington,Dallas Wings,199
Base Orange Lava,28,Kayla McBride,Minnesota Lynx,199
Base Orange Lava,29,Julie Vanloo,Golden State Valkyries,199
Base Orange Lava,30,Stefanie Dolson,Washington Mystics,199
Base Orange Lava,31,Alissa Pili,Minnesota Lynx,199
Base Orange Lava,32,Kamilla Cardoso,Chicago Sky,199
Base Orange Lava,33,Jacy Sheldon,Connecticut Sun,199
Base Orange Lava,34,Courtney Vandersloot,Chicago Sky,199
Base Orange Lava,35,Dorka Juhasz,Minnesota Lynx,199
Base Orange Lava,36,Megan Gustafson,Las Vegas Aces,199
Base Orange Lava,37,Dana Evans,Las Vegas Aces,199
Base Orange Lava,38,Chelsea Gray,Las Vegas Aces,199
Base Orange Lava,39,Arike Ogunbowale,Dallas Wings,199
Base Orange Lava,40,Kayla Thornton,Golden State Valkyries,199
